id,relationship_type_id,person1_id,person2_id
1,1,23,2346
2,1,2264,2346
3,1,2265,2547
4,1,2545,2547
5,1,2546,2547
6,1,2547,2265
7,1,2547,2545
8,1,2547,2546
9,1,2547,2610
10,1,2548,2557
11,1,2548,2599
12,1,2548,2866
13,1,2270,2565
14,1,2271,2565
15,1,2271,2301
16,1,2271,2640
17,1,2271,2764
18,1,2271,2770
19,1,2271,2863
20,1,2271,2505
21,1,2271,2875
22,1,2271,2211
23,1,2552,2555
24,1,2552,2579
25,1,2552,2771
26,1,2552,2494
27,1,2273,731
28,1,2273,2705
29,1,2273,2747
30,1,2273,2748
31,1,2273,2816
32,1,2273,2849
33,1,2273,2850
34,1,2553,23
35,1,2553,2264
36,1,2553,322
37,1,2553,2607
38,1,2553,2309
39,1,2553,2675
40,1,2553,2678
41,1,2553,853
42,1,2553,2679
43,1,2553,2680
44,1,2553,2371
45,1,2553,2372
46,1,2553,2380
47,1,2553,2721
48,1,2553,2722
49,1,2277,23
50,1,2277,2264
51,1,2277,2569
52,1,2277,2608
53,1,2277,2771
54,1,2277,2494
55,1,2554,23
56,1,2554,2264
57,1,2554,2557
58,1,2554,322
59,1,2554,2607
60,1,2554,2309
61,1,2554,2633
62,1,2554,2659
63,1,2554,2344
64,1,2554,2351
65,1,2554,2675
66,1,2554,2677
67,1,2554,2678
68,1,2554,853
69,1,2554,2679
70,1,2554,2680
71,1,2554,2380
72,1,2554,2721
73,1,2554,2722
74,1,2554,2765
75,1,2554,2766
76,1,2554,2767
77,1,2554,2771
78,1,2554,2427
79,1,2554,2435
80,1,2554,2794
81,1,2554,2459
82,1,80,23
83,1,80,2264
84,1,80,2557
85,1,80,249
86,1,80,2592
87,1,80,2300
88,1,80,2340
89,1,80,731
90,1,80,2659
91,1,80,2351
92,1,80,2399
93,1,80,2762
94,1,80,2763
95,1,80,2764
96,1,80,2765
97,1,80,2766
98,1,80,2767
99,1,80,2768
100,1,80,2769
101,1,80,2770
102,1,80,2771
103,1,80,2427
104,1,80,2793
105,1,80,2794
106,1,80,2796
107,1,80,2797
108,1,80,2459
109,1,80,2460
110,1,80,2503
111,1,80,2876
112,1,2555,23
113,1,2555,2264
114,1,2555,2552
115,1,2555,81
116,1,2555,2557
117,1,2555,2587
118,1,2555,2340
119,1,2555,2659
120,1,2555,2351
121,1,2555,2762
122,1,2555,2763
123,1,2555,2764
124,1,2555,2765
125,1,2555,2766
126,1,2555,2767
127,1,2555,2768
128,1,2555,2769
129,1,2555,2770
130,1,2555,2771
131,1,2555,2427
132,1,2555,2435
133,1,2555,2793
134,1,2555,2794
135,1,2555,2459
136,1,2555,2460
137,1,2555,2874
138,1,81,2554
139,1,81,80
140,1,81,2555
141,1,81,2558
142,1,81,2563
143,1,81,523
144,1,81,2686
145,1,81,2699
146,1,81,2399
147,1,81,2427
148,1,81,2433
149,1,81,2854
150,1,2557,23
151,1,2557,2264
152,1,2557,2548
153,1,2557,2554
154,1,2557,2555
155,1,2557,2587
156,1,2557,523
157,1,2557,2662
158,1,2557,2346
159,1,2557,2699
160,1,2557,2427
161,1,2557,2433
162,1,2557,2874
163,1,2558,23
164,1,2558,2264
165,1,2558,2553
166,1,2558,81
167,1,2558,2563
168,1,2558,2587
169,1,2558,2633
170,1,2558,2331
171,1,2558,2340
172,1,2558,2659
173,1,2558,2351
174,1,2558,2719
175,1,2558,2720
176,1,2558,2762
177,1,2558,2763
178,1,2558,2764
179,1,2558,2765
180,1,2558,2766
181,1,2558,2767
182,1,2558,2768
183,1,2558,2769
184,1,2558,2770
185,1,2558,2771
186,1,2558,2771
187,1,2558,2427
188,1,2558,2785
189,1,2558,2435
190,1,2558,2793
191,1,2558,2794
192,1,2558,2459
193,1,2280,2557
194,1,2559,2781
195,1,2560,2211
196,1,2561,2683
197,1,2562,2431
198,1,2562,2785
199,1,2518,2579
200,1,2518,322
201,1,2518,2607
202,1,2518,2309
203,1,2518,2662
204,1,2518,2344
205,1,2518,2346
206,1,2518,853
207,1,2518,2680
208,1,2518,2685
209,1,2518,2686
210,1,2518,2687
211,1,2518,2371
212,1,2518,2372
213,1,2518,2380
214,1,2518,2721
215,1,2518,2722
216,1,2563,81
217,1,2563,2558
218,1,2563,2587
219,1,2563,2633
220,1,2563,2340
221,1,2563,731
222,1,2563,2659
223,1,2563,2351
224,1,2563,2686
225,1,2563,2719
226,1,2563,2720
227,1,2563,2763
228,1,2563,2763
229,1,2563,2764
230,1,2563,2765
231,1,2563,2766
232,1,2563,2767
233,1,2563,2768
234,1,2563,2769
235,1,2563,2770
236,1,2563,2771
237,1,2563,2427
238,1,2563,2785
239,1,2563,2794
240,1,2563,2459
241,1,2563,2854
242,1,2563,2874
243,1,2565,2261
244,1,2565,2544
245,1,2565,2262
246,1,2565,2263
247,1,2565,2565
248,1,2565,322
249,1,2565,2309
250,1,2565,2344
251,1,2565,2675
252,1,2565,853
253,1,2565,2679
254,1,2565,2680
255,1,2565,2380
256,1,2565,2721
257,1,2565,2722
258,1,2285,2580
259,1,2285,2595
260,1,2285,322
261,1,2285,2607
262,1,2285,2309
263,1,2285,2662
264,1,2285,2344
265,1,2285,2346
266,1,2285,2514
267,1,2285,853
268,1,2285,2679
269,1,2285,2680
270,1,2285,2685
271,1,2285,2686
272,1,2285,2687
273,1,2285,2371
274,1,2285,2372
275,1,2285,2380
276,1,2285,2721
277,1,2285,2722
278,1,2569,2277
279,1,2574,2765
280,1,2575,2296
281,1,2575,2301
282,1,2575,2302
283,1,2575,2594
284,1,2575,2631
285,1,2575,2632
286,1,2575,2643
287,1,2575,2646
288,1,2575,2656
289,1,2575,730
290,1,2575,2657
291,1,2575,731
292,1,2575,2658
293,1,2575,2342
294,1,2575,2351
295,1,2575,2677
296,1,2575,2535
297,1,2575,2724
298,1,2575,2729
299,1,2575,2732
300,1,2575,2762
301,1,2575,2763
302,1,2575,2764
303,1,2575,2765
304,1,2575,2766
305,1,2575,2768
306,1,2575,2769
307,1,2575,2829
308,1,2575,2471
309,1,2575,2513
310,1,2575,2505
311,1,2577,2494
312,1,2578,2683
313,1,2578,1021
314,1,2578,2761
315,1,2289,2607
316,1,2289,2309
317,1,2289,2677
318,1,2289,2679
319,1,2289,2680
320,1,2289,2371
321,1,2289,2378
322,1,2290,2607
323,1,2290,2309
324,1,2290,2677
325,1,2290,2679
326,1,2290,2680
327,1,2290,2371
328,1,2290,2372
329,1,2291,2607
330,1,2291,2309
331,1,2291,2677
332,1,2291,2679
333,1,2291,2680
334,1,2291,2371
335,1,2291,2372
336,1,2523,2607
337,1,2523,2309
338,1,2523,2677
339,1,2523,2679
340,1,2523,2680
341,1,2523,2371
342,1,2523,2372
343,1,2579,2552
344,1,2579,2518
345,1,2579,2580
346,1,2579,2620
347,1,2579,730
348,1,2579,731
349,1,2579,2658
350,1,2579,732
351,1,2579,2659
352,1,2579,2660
353,1,2579,2661
354,1,2579,2662
355,1,2579,2344
356,1,2579,2346
357,1,2579,2718
358,1,2579,2417
359,1,2579,2769
360,1,2579,2482
361,1,2579,2846
362,1,2579,2849
363,1,2580,2285
364,1,2580,2579
365,1,2580,2295
366,1,2580,322
367,1,2580,2607
368,1,2580,2309
369,1,2580,2662
370,1,2580,2344
371,1,2580,2346
372,1,2580,2677
373,1,2580,853
374,1,2580,2679
375,1,2580,2680
376,1,2580,2685
377,1,2580,2686
378,1,2580,2687
379,1,2580,2371
380,1,2580,2372
381,1,2580,2380
382,1,2580,2718
383,1,2580,2721
384,1,2580,2722
385,1,2580,2494
386,1,2580,2495
387,1,2294,2631
388,1,2294,2632
389,1,2294,2724
390,1,2582,2631
391,1,2582,2632
392,1,2582,2724
393,1,2582,2505
394,1,2583,2587
395,1,2583,2301
396,1,2583,2640
397,1,2583,2664
398,1,2583,2370
399,1,2583,2724
400,1,2583,2397
401,1,2583,2764
402,1,2583,2766
403,1,2295,2580
404,1,2295,2595
405,1,2295,322
406,1,2295,2607
407,1,2295,2309
408,1,2295,2662
409,1,2295,2344
410,1,2295,853
411,1,2295,2679
412,1,2295,2680
413,1,2295,2685
414,1,2295,2686
415,1,2295,2687
416,1,2295,2371
417,1,2295,2372
